slug,latin_name,common_name,category,family,genus,observations_count
evergestis-extimalis,Evergestis extimalis,Marbled Yellow Pearl,insect,Crambidae,Evergestis,7
evergestis-limbata,Evergestis limbata,Dark Bordered Pearl,insect,Crambidae,Evergestis,7
gonepteryx-rhamni,Gonepteryx rhamni,Brimstone,insect,Pieridae,Gonepteryx,7
gypsonoma-dealbana,Gypsonoma dealbana,Common Cloaked Shoot,insect,Tortricidae,Gypsonoma,7
hylaeus-spec,Hylaeus spec.,Yellow-faced Bee unknown,insect,Colletidae,Hylaeus,7
ichneumonidae-indet,Ichneumonidae indet.,Ichneumonid unknown,insect,Ichneumonidae,"",7
leptura-quadrifasciata,Leptura quadrifasciata,four-banded longhorn beetle,insect,Cerambycidae,Leptura,7
lysimachia-punctata,Lysimachia punctata,Dotted Loosestrife,plant,Primulaceae,Lysimachia,7
noctua-comes,Noctua comes,Lesser Yellow Underwing,insect,Noctuidae,Noctua,7
origanum-vulgare,Origanum vulgare,Wild Marjoram,plant,Lamiaceae,Origanum,7
parietaria-judaica,Parietaria judaica,Pellitory-of-the-wall,plant,Urticaceae,Parietaria,7
polygonum-aviculare,Polygonum aviculare,Knotgrass,plant,Polygonaceae,Polygonum,7
rhinanthus-angustifolius,Rhinanthus angustifolius,Greater Yellow-rattle,plant,Orobanchaceae,Rhinanthus,7
rubus-caesius,Rubus caesius,Dewberry,plant,Rosaceae,Rubus,7
sapygina-decemguttata,Sapygina decemguttata,Ten-spotted club wasp,insect,Sapygidae,Sapygina,7
scrophularia-nodosa,Scrophularia nodosa,Common Figwort,plant,Scrophulariaceae,Scrophularia,7
sonchus-arvensis,Sonchus arvensis,Perennial Sow-thistle,plant,Asteraceae,Sonchus,7
sonchus-palustris,Sonchus palustris,Marsh Sow-thistle,plant,Asteraceae,Sonchus,7
stictoleptura-rubra,Stictoleptura rubra,Red Pine Longhorn Beetle,insect,Cerambycidae,Stictoleptura,7
tetragnatha-spec,Tetragnatha spec.,Long-jawed Orbweaver unknown,arachnid,Tetragnathidae,Tetragnatha,7
tragopogon-pratensis-subsp-orientalis,Tragopogon pratensis subsp. orientalis,Oriental Salsify,plant,Asteraceae,Tragopogon,7
triticum-aestivum,Triticum aestivum,Bread Wheat,plant,Poaceae,Triticum,7
vespa-velutina,Vespa velutina,Asian Hornet,insect,Vespidae,Vespa,7
acleris-hastiana,Acleris hastiana,Sallow Button,insect,Tortricidae,Acleris,6
aglais-io,Aglais io,Peacock,insect,Nymphalidae,Aglais,6
arion-rufus-vulgaris,Arion rufus/vulgaris,Large Red Slug,mollusc,Arionidae,Arion,6
bucculatrix-cidarella,Bucculatrix cidarella,Alder Bent-wing,insect,Bucculatricidae,Bucculatrix,6
buteo-buteo,Buteo buteo,Common Buzzard,bird,Accipitridae,Buteo,6
campanula-rapunculus,Campanula rapunculus,Rampion Bellflower,plant,Campanulaceae,Campanula,6
cydalima-perspectalis,Cydalima perspectalis,Box-tree Moth,insect,Crambidae,Cydalima,6
cymbalaria-muralis,Cymbalaria muralis,Ivy-leaved Toadflax,plant,Plantaginaceae,Cymbalaria,6
dipsacus-fullonum,Dipsacus fullonum,Wild Teasel,plant,Caprifoliaceae,Dipsacus,6
eristalis-intricaria,Eristalis intricaria,Furry Drone Fly,insect,Syrphidae,Eristalis,6
eumenes-spec,Eumenes spec.,Potter wasps,insect,Vespidae,Eumenes,6
euphorbia-peplus,Euphorbia peplus,Petty Spurge,plant,Euphorbiaceae,Euphorbia,6
ganoderma-adspersum,Ganoderma adspersum,Southern Bracket,fungus,Polyporaceae,Ganoderma,6
hedera-helix,Hedera helix,Ivy,plant,Araliaceae,Hedera,6
hypomecis-punctinalis,Hypomecis punctinalis,Pale Oak Beauty,insect,Geometridae,Hypomecis,6
lauxaniidae-indet,Lauxaniidae indet.,Lauxaniid Flies,insect,Lauxaniidae,"",6
leptoceridae-indet,Leptoceridae indet.,Long-horned Caddisflies,insect,Leptoceridae,"",6
liocoris-tripustulatus,Liocoris tripustulatus,Three Spotted Nettle Bug,insect,Miridae,Liocoris,6
macaroeris-nidicolens,Macaroeris nidicolens,Mile End Jumping Spider,arachnid,Salticidae,Macaroeris,6
megachile-centuncularis,Megachile centuncularis,Patchwork Leafcutter Bee,insect,Megachilidae,Megachile,6
mompha-subbistrigella,Mompha subbistrigella,Garden Mompha,insect,Momphidae,Mompha,6
myosotis-arvensis,Myosotis arvensis,Field Forget-me-not,plant,Boraginaceae,Myosotis,6
mythimna-straminea,Mythimna straminea,Southern Wainscot,insect,Noctuidae,Mythimna,6
orobanche-hederae,Orobanche hederae,Ivy Broomrape,plant,Orobanchaceae,Orobanche,6
parastichtis-suspecta,Parastichtis suspecta,Suspected,insect,Noctuidae,Parastichtis,6
petasites-hybridus,Petasites hybridus,Butterbur,plant,Asteraceae,Petasites,6
philanthus-triangulum,Philanthus triangulum,European Bee Wolf,insect,Crabronidae,Philanthus,6
platalea-leucorodia,Platalea leucorodia,Eurasian Spoonbill,bird,Threskiornithidae,Platalea,6
scoparia-eudonia-spec,Scoparia/Eudonia spec.,Grass moths (mixed),insect,Crambidae,Eudonia,6
sinapis-arvensis,Sinapis arvensis,Charlock,plant,Brassicaceae,Sinapis,6
solanum-nigrum,Solanum nigrum,Black Nightshade,plant,Solanaceae,Solanum,6
syrphus-spec,Syrphus spec.,Common Flower Flies,insect,Syrphidae,Syrphus,6
talpa-europaea,Talpa europaea,European Mole,mammal,Talpidae,Talpa,6
trichius-gallicus-gallicus,Trichius gallicus gallicus,French Flower Chafer,insect,Scarabaeidae,Trichius,6
tritomegas-bicolor,Tritomegas bicolor,Pied Shieldbug,insect,Cydnidae,Tritomegas,6
accipiter-nisus,Accipiter nisus,Eurasian Sparrowhawk,bird,Accipitridae,Accipiter,5
aglossa-caprealis,Aglossa caprealis,Stored grain moth,insect,Pyralidae,Aglossa,5
aglossa-pinguinalis,Aglossa pinguinalis,Large Tabby,insect,Pyralidae,Aglossa,5
agraylea-spec,Agraylea spec.,Micro caddisflies,insect,Hydroptilidae,Agraylea,5
anacampsis-blattariella,Anacampsis blattariella,birch sober,insect,Gelechiidae,Anacampsis,5
anchusa-officinalis,Anchusa officinalis,Alkanet,plant,Boraginaceae,Anchusa,5
angelica-archangelica,Angelica archangelica,Garden Angelica,plant,Apiaceae,Angelica,5
antirrhinum-majus,Antirrhinum majus,Snapdragon,plant,Plantaginaceae,Antirrhinum,5
archips-xylosteana,Archips xylosteana,Variegated Golden Tortrix,insect,Tortricidae,Archips,5
ballota-nigra,Ballota nigra,Black Horehound,plant,Lamiaceae,Ballota,5
batia-lunaris,Batia lunaris,Lesser Tawny Crescent,insect,Oecophoridae,Batia,5
butomus-umbellatus,Butomus umbellatus,Flowering-rush,plant,Butomaceae,Butomus,5
cacoecimorpha-pronubana,Cacoecimorpha pronubana,Carnation Tortix,insect,Tortricidae,Cacoecimorpha,5
calamotropha-paludella,Calamotropha paludella,Bulrush Veneer,insect,Crambidae,Calamotropha,5
calliphora-spec,Calliphora spec.,Bluebottle Flies,insect,Calliphoridae,Calliphora,5
carpatolechia-fugitivella,Carpatolechia fugitivella,Elm Groundling,insect,Gelechiidae,Carpatolechia,5
clogmia-albipunctata,Clogmia albipunctata,Bathroom Moth Fly,insect,Psychodidae,Clogmia,5
colletes-fodiens,Colletes fodiens,Hairy-saddled Colletes,insect,Colletidae,Colletes,5
conocephalus-spec,Conocephalus spec.,Lesser Meadow Katydids,other,"","",5
corixidae-indet,Corixidae indet.,Water boatman,insect,Corixidae,"",5
crabronidae-indet,Crabronidae indet.,Crabronid wasp unknown (Crabronidae),insect,Crabronidae,"",5
ctenolepisma-longicaudatum,Ctenolepisma longicaudatum,Gray Silverfish,insect,Lepismatidae,Ctenolepisma,5
cuculus-canorus,Cuculus canorus,Common Cuckoo,bird,Cuculidae,Cuculus,5
deilephila-elpenor,Deilephila elpenor,Elephant Hawk-moth,insect,Sphingidae,Deilephila,5
demeijerea-rufipes,Demeijerea rufipes,Non-biting midge,insect,Chironomidae,Demeijerea,5
dianthus-giganteus,Dianthus giganteus,Giant Pink,plant,Caryophyllaceae,Dianthus,5
dioctria-hyalipennis,Dioctria hyalipennis,Stripe-legged Robber Fly,insect,Asilidae,Dioctria,5
elymus-repens,Elymus repens,Common Couch,plant,Poaceae,Elymus,5
epilobium-spec,Epilobium spec.,Willowherb unknown,plant,Onagraceae,Epilobium,5
erigeron-annuus,Erigeron annuus,Tall Fleabane,plant,Asteraceae,Erigeron,5
fallopia-japonica,Fallopia japonica,Japanese Knotweed,plant,Polygonaceae,Reynoutria,5
forficula-auricularia-gr,Forficula auricularia-gr.,Common Earwig,insect,Forficulidae,Forficula,5
gelechiidae-indet,Gelechiidae indet.,Twirler Moths,insect,Gelechiidae,"",5
habrosyne-pyritoides,Habrosyne pyritoides,Buff Arches,insect,Drepanidae,Habrosyne,5
harmonia-axyridis-f-conspicua,Harmonia axyridis f. conspicua,Harlequin ladybird f. conspicua,insect,Coccinellidae,Harmonia,5
herminia-tarsipennalis,Herminia tarsipennalis,Fan-foot,insect,Erebidae,Herminia,5
hoplodrina-ambigua,Hoplodrina ambigua,Vine's Rustic,insect,Noctuidae,Hoplodrina,5
hygromia-cinctella,Hygromia cinctella,Girdled Snail,mollusc,Hygromiidae,Hygromia,5
hypsopygia-glaucinalis,Hypsopygia glaucinalis,Double-striped Tabby,insect,Pyralidae,Hypsopygia,5
idaea-dimidiata,Idaea dimidiata,Single-dotted Wave,insect,Geometridae,Idaea,5
juglans-regia,Juglans regia,Persian walnut,plant,Juglandaceae,Juglans,5
knautia-arvensis,Knautia arvensis,Field Scabious,plant,Caprifoliaceae,Knautia,5
lateroligia-ophiogramma,Lateroligia ophiogramma,Double Lobed,insect,Noctuidae,Lateroligia,5
lepidium-ruderale,Lepidium ruderale,Narrow-leaved Pepperwort,plant,Brassicaceae,Lepidium,5
leptocerus-tineiformis,Leptocerus tineiformis,Long-horned caddisfly,insect,Leptoceridae,Leptocerus,5
limax-maximus,Limax maximus,Leopard Slug,mollusc,Limacidae,Limax,5
lysimachia-vulgaris,Lysimachia vulgaris,Yellow Loosestrife,plant,Primulaceae,Lysimachia,5
melanostoma-scalare,Melanostoma scalare,Long-winged Duskyface,insect,Syrphidae,Melanostoma,5
mompha-epilobiella,Mompha epilobiella,Common Cosmet,insect,Momphidae,Mompha,5
noctua-fimbriata,Noctua fimbriata,Broad-bordered Yellow Underwing,insect,Noctuidae,Noctua,5
notocelia-uddmanniana,Notocelia uddmanniana,Bramble Shoot Moth,insect,Tortricidae,Notocelia,5
oligia-strigilis,Oligia strigilis,Marbled Minor,insect,Noctuidae,Oligia,5
pandemis-heparana,Pandemis heparana,Dark Fruit-tree Tortrix,insect,Tortricidae,Pandemis,5
pastinaca-sativa,Pastinaca sativa,Wild Parsnip,plant,Apiaceae,Pastinaca,5
persicaria-lapathifolia-persicaria-maculosa,Persicaria lapathifolia + Persicaria maculosa,Pale persicaria and redshank (mixed),other,"","",5
phyllonorycter-quinqueguttella,Phyllonorycter quinqueguttella,Sandhill midget,insect,Gracillariidae,Phyllonorycter,5
pieris-mannii,Pieris mannii,Southern Small White,insect,Pieridae,Pieris,5
pieris-rapae-rapae,Pieris rapae rapae,Cabbage White,insect,Pieridae,Pieris,5
robinia-pseudoacacia,Robinia pseudoacacia,False-acacia,plant,Fabaceae,Robinia,5
rorippa-sylvestris,Rorippa sylvestris,Creeping Yellow cress,plant,Brassicaceae,Rorippa,5
silene-vulgaris,Silene vulgaris,Bladder Campion,plant,Caryophyllaceae,Silene,5
spilosoma-lubricipeda,Spilosoma lubricipeda,White Ermine,insect,Erebidae,Spilosoma,5
swammerdamia-paraswammerdamia-spec,Swammerdamia/Paraswammerdamia spec.,Ermine moths (mixed),insect,Yponomeutidae,Paraswammerdamia,5
taraxacum-officinale-s-l-incl-all-sect,Taraxacum officinale s.l. (incl. all sect.),Common Dandelion,plant,Asteraceae,Taraxacum,5
teleiodes-vulgella,Teleiodes vulgella,common groundling,insect,Gelechiidae,Teleiodes,5
tephritis-bardanae,Tephritis bardanae,Burdock Fly,insect,Tephritidae,Tephritis,5
tilia-spec,Tilia spec.,Basswood unknown,plant,Malvaceae,Tilia,5
tineola-bisselliella,Tineola bisselliella,Webbing Clothes Moth,insect,Tineidae,Tineola,5
verbena-bonariensis,Verbena bonariensis,Argentinian Vervain,plant,Verbenaceae,Verbena,5
xanthorhoe-fluctuata,Xanthorhoe fluctuata,Garden Carpet,insect,Geometridae,Xanthorhoe,5
xestia-triangulum,Xestia triangulum,Double Square-spot,insect,Noctuidae,Xestia,5
agrostemma-githago,Agrostemma githago,Corncockle,plant,Caryophyllaceae,Agrostemma,4
agrostis-spec,Agrostis spec.,Bent grass unknown,plant,Poaceae,Agrostis,4
anax-imperator,Anax imperator,Blue Emperor,insect,Aeshnidae,Anax,4
anisantha-sterilis,Anisantha sterilis,Barren Brome,plant,Poaceae,Bromus,4
anobiidae-indet,Anobiidae indet.,"Deathwatch, Spider, and Wood-borer Beetles",insect,Anobiidae,"",4
arctium-lappa,Arctium lappa,Greater Burdock,plant,Asteraceae,Arctium,4
