slug,latin_name,taxon_group,family,genus,observations_count
phaonia-spec,Phaonia spec.,18,Muscidae,Phaonia,2
philodromus-aureolus,Philodromus aureolus,Arachnida,Philodromidae,Philodromus,2
philosepedon-spec,Philosepedon spec.,18,Psychodidae,Philosepedon,2
phycitodes-spec,Phycitodes spec.,8,Pyralidae,Phycitodes,2
phytocoris-ulmi,Phytocoris ulmi,15,Miridae,Phytocoris,2
phytomyza-senecionis,Phytomyza senecionis,18,Agromyzidae,Phytomyza,2
pinalitus-cervinus,Pinalitus cervinus,15,Miridae,Pinalitus,2
platypalpus-spec,Platypalpus spec.,18,Hybotidae,Platypalpus,2
rhogogaster-spec,Rhogogaster spec.,17,Tenthredinidae,Rhogogaster,2
rivellia-syngenesiae,Rivellia syngenesiae,18,Platystomatidae,Rivellia,2
segestria-bavarica,Segestria bavarica,13,Segestriidae,Segestria,2
sphaeroderma-testaceum,Sphaeroderma testaceum,16,Chrysomelidae,Pistosia,2
sylvicola-spec,Sylvicola spec.,18,"","",2
symmorphus-spec,Symmorphus spec.,17,Eumenidae,Symmorphus,2
syrphini,Syrphini,Insecta,"","",2
tillus-elongatus,Tillus elongatus,16,Cleridae,Tillus,2
trachelospermum,Trachelospermum,Plantae,Apocynaceae,Trachelospermum,2
acanthus-hungaricus,Acanthus hungaricus,10,Acanthaceae,Acanthus,1
acer-pseudoplatanus-f-aureovariegatum,Acer pseudoplatanus f. aureovariegatum,10,Sapindaceae,Acer,1
achillea-millefolium-cultivar,Achillea millefolium (cultivar),10,Asteraceae,Achillea,1
adalia,Adalia,Insecta,Coccinellidae,Adalia,1
aegopodium,Aegopodium,Plantae,Apiaceae,Aegopodium,1
agelastica,Agelastica,Insecta,Chrysomelidae,Agelastica,1
agrilus,Agrilus,Insecta,Buprestidae,Agrilus,1
agrilus-spec,Agrilus spec.,16,"","",1
agromyza-flaviceps,Agromyza flaviceps,18,Agromyzidae,Agromyza,1
agyneta,Agyneta,Arachnida,Linyphiidae,Agyneta,1
ancylis-unguicella,Ancylis unguicella,8,Tortricidae,Ancylis,1
anodontini,Anodontini,Mollusca,"","",1
anoecia,Anoecia,Insecta,Aphididae,Anoecia,1
anthocomus-fasciatus,Anthocomus fasciatus,16,Melyridae,Anthocomus,1
anthrenus-pimpinellae,Anthrenus pimpinellae,16,Dermestidae,Anthrenus,1
aphrodes-spec,Aphrodes spec.,15,Cicadellidae,Aphrodes,1
aplocera-spec,Aplocera spec.,8,"","",1
apolygus-lucorum,Apolygus lucorum,15,Miridae,Apolygus,1
aquarius,Aquarius,Insecta,Gerridae,Aquarius,1
aquilegia-vulgaris-cultivar,Aquilegia vulgaris (cultivar),10,Ranunculaceae,Aquilegia,1
aradus-brenskei,Aradus brenskei,15,Aradidae,Aradus,1
arge-cyanocrocea,Arge cyanocrocea,17,Argidae,Arge,1
arge-pagana,Arge pagana,17,Argidae,Arge,1
atractotomus-mali,Atractotomus mali,15,Miridae,Atractotomus,1
aulagromyza-hendeliana,Aulagromyza hendeliana,18,Agromyzidae,Aulagromyza,1
austrolimnophila-ochracea,Austrolimnophila ochracea,Insecta,Limoniidae,Austrolimnophila,1
bledius-spec,Bledius spec.,16,Staphylinidae,Bledius,1
brassiceae,Brassiceae,Plantae,"","",1
byturus-spec,Byturus spec.,16,Byturidae,Byturus,1
caloptilia-spec,Caloptilia spec.,8,Gracillariidae,Caloptilia,1
cantharis,Cantharis,Insecta,"","",1
cantharis-flavilabris,Cantharis flavilabris,Insecta,Cantharidae,Cantharis,1
carpocoris-spec,Carpocoris spec.,15,Pentatomidae,Carpocoris,1
caryocolum-fischerella,Caryocolum fischerella,8,Gelechiidae,Caryocolum,1
celypha-siderana,Celypha siderana,8,Tortricidae,Phiaris,1
chaoborus-spec,Chaoborus spec.,18,Chaoboridae,Chaoborus,1
chromatomyia-spinaciae,Chromatomyia spinaciae,18,Agromyzidae,Chromatomyia,1
cnephasia-spec,Cnephasia spec.,8,Tortricidae,Cnephasia,1
coniopteryx-spec,Coniopteryx spec.,6,Coniopterygidae,Coniopteryx,1
coprinellus-micaceus-sl-incl-pallidissimus-saccharinus-truncorum,"Coprinellus micaceus sl, incl. pallidissimus, saccharinus, truncorum",11,Psathyrellaceae,Coprinellus,1
coranus-spec,Coranus spec.,15,Reduviidae,Coranus,1
cordylepherus-viridis,Cordylepherus viridis,16,Malachiidae,Cordylepherus,1
cremnops-desertor,Cremnops desertor,17,Braconidae,Cremnops,1
crossocerus-annulipes,Crossocerus annulipes,17,Crabronidae,Crossocerus,1
crossocerus-binotatus,Crossocerus binotatus,17,Crabronidae,Crossocerus,1
crossocerus-spec,Crossocerus spec.,17,Crabronidae,Crossocerus,1
cryptinae-indet,Cryptinae indet.,17,"","",1
cryptocephalus-spec,Cryptocephalus spec.,16,Chrysomelidae,Cryptocephalus,1
cryptodiaporthe-populea,Cryptodiaporthe populea,11,Gnomoniaceae,Cryptodiaporthe,1
cryptosphaeria-eunomia,Cryptosphaeria eunomia,11,Diatrypaceae,Cryptosphaeria,1
cylindroiulus-caeruleocinctus,Cylindroiulus caeruleocinctus,13,Julidae,Cylindroiulus,1
dacrymyces-stillatus,Dacrymyces stillatus,11,Dacrymycetaceae,Dacrymyces,1
dasineura-acrophila,Dasineura acrophila,18,Cecidomyiidae,Dasineura,1
dasineura-aparines,Dasineura aparines,18,Cecidomyiidae,Dasineura,1
dasineura-sisymbrii,Dasineura sisymbrii,Insecta,Cecidomyiidae,Dasineura,1
dasytes-spec,Dasytes spec.,16,Melyridae,Dasytes,1
datura-stramonium-var-tatula,Datura stramonium var. tatula,10,Solanaceae,Datura,1
depressaria,Depressaria,Insecta,Depressariidae,Depressaria,1
