slug,form,hue,aspect,sat,tail,head_stripe,status,note
trachea-atriplicis,moth,54.8,1.00,55,thin,False,ok,
tragopogon-dubius,,,,,,,no_form,plantae/magnoliopsida/asterales
tragopogon-pratensis,,,,,,,no_form,plantae/magnoliopsida/asterales
tragopogon-pratensis-subsp-orientalis,,,,,,,no_form,plantae/magnoliopsida/asterales
trametes-versicolor,fungus,110.5,1.00,35,thin,False,ok,
tremulicerus-tremulae,bug,23.9,1.00,45,thin,False,ok,
tremulicerus-vitreus,bug,78.0,1.00,45,thin,False,ok,
triaxomera-parasitella,moth,42.9,1.00,55,thin,False,ok,
trichius-gallicus-gallicus,beetle,306.5,1.00,55,thin,False,ok,
trichodes-apiarius,beetle,73.8,1.00,55,thin,False,ok,
trichoptera-indet,bug,27.9,1.00,40,thin,False,ok,
trifolium-campestre,,,,,,,no_form,plantae/magnoliopsida/fabales
trifolium-incarnatum,,,,,,,no_form,plantae/magnoliopsida/fabales
trifolium-resupinatum,,,,,,,no_form,plantae/magnoliopsida/fabales
trifolium-rubens,,,,,,,no_form,plantae/magnoliopsida/fabales
tringa-ochropus,wading-bird,207.6,1.00,30,thin,False,ok,
tripleurospermum-maritimum-matricaria-chamomilla,,,,,,,no_form,-/-/-
trisetum-flavescens,,,,,,,no_form,plantae/liliopsida/poales
triteleia-laxa,,,,,,,no_form,plantae/liliopsida/asparagales
triticum-aestivum,,,,,,,no_form,plantae/liliopsida/poales
tritomegas-bicolor,bug,69.5,1.00,45,thin,False,ok,
trochulus-hispidus,mollusc,80.6,0.90,55,thin,False,ok,
trogoderma-angustum,beetle,97.7,1.00,55,thin,False,ok,
trombidiidae-indet,spider,34.3,1.00,35,thin,False,ok,
tropaeolum-majus,,,,,,,no_form,plantae/magnoliopsida/brassicales
trupanea-stellata,bee,83.0,1.00,55,thin,False,ok,
trypoxylon-spec,bee,34.3,1.00,55,thin,False,ok,
turritella-socordia,mollusc,33.9,0.90,55,thin,False,ok,
tussilago-farfara,,,,,,,no_form,plantae/magnoliopsida/asterales
typha-angustifolia,,,,,,,no_form,plantae/liliopsida/poales
typha-latifolia,,,,,,,no_form,plantae/liliopsida/poales
typhlocybinae-indet,,,,,,,no_form,-/-/-
ulmus-spec,,,,,,,no_form,-/-/-
uloborus-plumipes,spider,34.3,1.00,35,thin,False,ok,
umbilicus-rupestris,,,,,,,no_form,plantae/magnoliopsida/saxifragales
unio-tumidus,,,,,,,no_form,animalia/bivalvia/unionida
urophora-cardui,bee,83.8,1.00,55,thin,False,ok,
verbascum-blattaria,,,,,,,no_form,plantae/magnoliopsida/lamiales
verbascum-spec,,,,,,,no_form,plantae/magnoliopsida/lamiales
verbascum-speciosum,,,,,,,no_form,plantae/magnoliopsida/lamiales
verbascum-thapsus,,,,,,,no_form,plantae/magnoliopsida/lamiales
verbena-bonariensis,,,,,,,no_form,plantae/magnoliopsida/lamiales
verbena-officinalis,,,,,,,no_form,plantae/magnoliopsida/lamiales
verbena-rigida,,,,,,,no_form,plantae/magnoliopsida/lamiales
veronica-arvensis,,,,,,,no_form,plantae/magnoliopsida/lamiales
veronica-austriaca,,,,,,,no_form,plantae/magnoliopsida/lamiales
veronica-beccabunga,,,,,,,no_form,plantae/magnoliopsida/lamiales
veronica-catenata,,,,,,,no_form,plantae/magnoliopsida/lamiales
veronica-filiformis,,,,,,,no_form,plantae/magnoliopsida/lamiales
veronica-longifolia,,,,,,,no_form,plantae/magnoliopsida/lamiales
veronica-persica,,,,,,,no_form,plantae/magnoliopsida/lamiales
veronicastrum-virginicum,,,,,,,no_form,plantae/magnoliopsida/lamiales
vespa-crabro,bee,41.7,1.00,55,thin,False,ok,
vespa-velutina,bee,24.8,1.00,55,thin,False,ok,
