slug,latin_name,query_name,rank,kingdom,phylum,class_name,order_name,family,genus,species,scientific_name,match_type,confidence
cinara-cedri,Cinara cedri,Cinara cedri,species,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Cinara,cedri,"Cinara cedri Mimeur, 1936",EXACT,99
cinara-cupressi,Cinara cupressi sensu lato,Cinara cupressi sensu lato,species,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Cinara,cupressi,"Cinara cupressi (Buckton, 1881)",EXACT,99
cinara-laricis,"Cinara laricis, Lachninae","Cinara laricis, Lachninae",species,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Cinara,laricis,"Cinara laricis (Börner, 1942)",EXACT,98
cinara-pinea,"Cinara pinea, C. pini","Cinara pinea, C. pini",species,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Cinara,pineum,"Cinara pineum (Mordvilko, 1895)",HIGHERRANK,95
coccinella-septempunctata,,,compound,,,,,,,,,,
coccinellidae,"Coccinellidae, Chrysopidae","Coccinellidae, Chrysopidae",family,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,,,Coccinellidae,EXACT,94
coccothraustes-coccothraustes,Coccothraustes coccothraustes,Coccothraustes coccothraustes,species,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Coccothraustes,coccothraustes,"Coccothraustes coccothraustes (Linnaeus, 1758)",EXACT,99
coleophora-laricella,"Coleophora laricella, Coleophoridae","Coleophora laricella, Coleophoridae",species,Animalia,Arthropoda,Insecta,Lepidoptera,Coleophoridae,Coleophora,laricella,"Coleophora laricella (Hübner, 1817)",EXACT,99
coleophoridae,Coleophoridae,Coleophoridae,family,Animalia,Arthropoda,Insecta,Lepidoptera,Coleophoridae,,,Coleophoridae,EXACT,94
coleoptera-saproxylica,Coleoptera saproxylica,Coleoptera saproxylica,order,Animalia,Arthropoda,Insecta,Coleoptera,,,,Coleoptera,HIGHERRANK,94
collembola,Collembola,Collembola,class,Animalia,Arthropoda,Collembola,,,,,Collembola,EXACT,94
collembola-oribatida,"Collembola, Oribatida","Collembola, Oribatida",class,Animalia,Arthropoda,Collembola,,,,,Collembola,EXACT,94
collembola-psocoptera,"Collembola, Psocoptera","Collembola, Psocoptera",class,Animalia,Arthropoda,Collembola,,,,,Collembola,EXACT,94
colocasia-coryli,Colocasia coryli / Noctuidae,Colocasia coryli / Noctuidae,species,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Colocasia,coryli,"Colocasia coryli (Linnaeus, 1758)",EXACT,99
columba-corvus,Columba/Corvus,Columba/Corvus,kingdom,Animalia,,,,,,,Animalia,HIGHERRANK,92
columba-palumbus,"Columba palumbus, Turdus merula","Columba palumbus, Turdus merula",species,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,palumbus,"Columba palumbus Linnaeus, 1758",HIGHERRANK,99
