slug,latin_name,taxon_group
tinodes-waeneri,Tinodes waeneri,6
trachelospermum,Trachelospermum,Plantae
triaxomera-parasitella,Triaxomera parasitella,8
typhlocybinae-indet,Typhlocybinae indet.,15
vitula-biviella,Vitula biviella,8
volvariella-gloiocephala,Volvariella gloiocephala,11
xysticus-ulmi,Xysticus ulmi,13
ypsolopha-dentella,Ypsolopha dentella,8
ypsolopha-scabrella,Ypsolopha scabrella,8
abia-nitens,Abia nitens,17
acanthus-hungaricus,Acanthus hungaricus,10
acer-pseudoplatanus-f-aureovariegatum,Acer pseudoplatanus f. aureovariegatum,10
achillea-millefolium-cultivar,Achillea millefolium (cultivar),10
acleris-ferrugana,Acleris ferrugana,8
acleris-logiana,Acleris logiana,8
acrobasis-advenella,Acrobasis advenella,8
aculus-tetanothrix,Aculus tetanothrix,13
adalia,Adalia,Insecta
aegopodium,Aegopodium,Plantae
aeshnidae-indet,Aeshnidae indet.,5
agaricus-bitorquis,Agaricus bitorquis,11
agaricus-spec,Agaricus spec.,11
agelastica,Agelastica,Insecta
agonopterix-heracliana-ciliella,Agonopterix heracliana / ciliella,8
agonopterix-propinquella,Agonopterix propinquella,8
agrilus,Agrilus,Insecta
agrilus-spec,Agrilus spec.,16
agriphila-geniculea,Agriphila geniculea,8
agriphila-inquinatella,Agriphila inquinatella,8
agrocybe-dura,Agrocybe dura,11
agromyza-flaviceps,Agromyza flaviceps,18
agyneta,Agyneta,Arachnida
aleiodes-spec,Aleiodes spec.,17
amara-apricaria,Amara apricaria,16
amara-aulica,Amara aulica,16
amara-spec,Amara spec.,16
anania-crocealis,Anania crocealis,8
anarsia-innoxiella,Anarsia innoxiella,8
ancylis-unguicella,Ancylis unguicella,8
anodontini,Anodontini,Mollusca
anoecia,Anoecia,Insecta
anthocomus-fasciatus,Anthocomus fasciatus,16
anthrenus-pimpinellae,Anthrenus pimpinellae,16
aphis-jacobaeae,Aphis jacobaeae,15
aphis-sambuci,Aphis sambuci,15
aphrodes-spec,Aphrodes spec.,15
aplocera-spec,Aplocera spec.,8
apolygus-lucorum,Apolygus lucorum,15
aquarius,Aquarius,Insecta
aquilegia-vulgaris-cultivar,Aquilegia vulgaris (cultivar),10
aradus-brenskei,Aradus brenskei,15
araneus-spec,Araneus spec.,13
archips-crataegana,Archips crataegana,8
arenaria-leptoclados-arenaria-serpyllifolia,Arenaria leptoclados + Arenaria serpyllifolia,10
arge,Arge,Insecta
arge-cyanocrocea,Arge cyanocrocea,17
arge-pagana,Arge pagana,17
argogorytes-mystaceus,Argogorytes mystaceus,17
argyresthia-albistria,Argyresthia albistria,8
argyresthia-goedartella,Argyresthia goedartella,8
argyresthia-retinella,Argyresthia retinella,8
argyrotaenia-ljungiana,Argyrotaenia ljungiana,8
arma-custos,Arma custos,15
arocatus-longiceps,Arocatus longiceps,15
assara-terebrella,Assara terebrella,8
atractotomus-mali,Atractotomus mali,15
atyaephyra-desmarestii,Atyaephyra desmarestii,13
aulagromyza-hendeliana,Aulagromyza hendeliana,18
austrolimnophila-ochracea,Austrolimnophila ochracea,Insecta
ballus-chalybeius,Ballus chalybeius,13
bathyphantes-gracilis,Bathyphantes gracilis,13
beosus-maritimus,Beosus maritimus,15
beris-morrisii,Beris morrisii,18
