slug,latin_name,taxon_group,common_name,observations_count
argyresthia-pygmaeella,Argyresthia pygmaeella,8,"",2
arianta-arbustorum,Arianta arbustorum,7,Copse Snail,2
aristolochia-clematitis,Aristolochia clematitis,10,Birthwort,2
arrhenatherum-elatius,Arrhenatherum elatius,10,False Oat-grass,2
arum-italicum,Arum italicum,10,Italian Lords-and-Ladies,2
ascobolus-brantophilus,Ascobolus brantophilus,11,"",2
asplenium-ruta-muraria,Asplenium ruta-muraria,10,Wall-rue,2
aythya-ferina,Aythya ferina,1,Common Pochard,2
beris-vallata,Beris vallata,18,Common Orange Legionnaire,2
betonica-officinalis,Betonica officinalis,10,Betony,2
bistorta-amplexicaulis,Bistorta amplexicaulis,Plantae,red bistort,2
blepharipa-pratensis,Blepharipa pratensis,18,"",2
bolboschoenus-laticarpus,Bolboschoenus laticarpus,10,"",2
borago-officinalis,Borago officinalis,10,Borage,2
brachmia-blandella,Brachmia blandella,8,"",2
brachycera,Brachycera,Insecta,Brachyceran Flies,2
briza-media,Briza media,10,Quaking-grass,2
cabera-exanthemata,Cabera exanthemata,8,Common Wave,2
calendula-officinalis,Calendula officinalis,10,Garden Marigold,2
caliothrips,Caliothrips,Insecta,"",2
caloptilia-stigmatella,Caloptilia stigmatella,8,"",2
calystegia,Calystegia,Plantae,false bindweeds,2
campanula,Campanula,Plantae,bellflowers,2
cannabis-sativa,Cannabis sativa,10,Cannabis,2
caradrina-kadenii,Caradrina kadenii,8,Clancy's Rustic,2
carduus-nutans,Carduus nutans,10,Nodding Thistle,2
carex-hirta,Carex hirta,10,Hairy Sedge,2
carpinus-betulus,Carpinus betulus,10,European Hornbeam,2
cassida-rubiginosa,Cassida rubiginosa,16,Thistle Tortoise Beetle,2
castanea-sativa,Castanea sativa,10,Sweet Chestnut,2
cedrus-atlantica,Cedrus atlantica,Plantae,Atlas cedar,2
centaurea,Centaurea,Plantae,knapweeds,2
centaurea-cyanus-cultivar,Centaurea cyanus (cultivar),10,"",2
centaurium-erythraea,Centaurium erythraea,10,Common Centaury,2
cephalaria-gigantea,Cephalaria gigantea,10,Giant Scabious,2
cerastium-fontanum,Cerastium fontanum,10,Common Mouse-ear,2
ceratostigma-plumbaginoides,Ceratostigma plumbaginoides,10,Blue leadwood,2
chenopodium-ficifolium,Chenopodium ficifolium,10,Fig-leaved Goosefoot,2
chromatomyia-primulae,Chromatomyia primulae,18,"",2
chrysotus-spec,Chrysotus spec.,18,"",2
clematis,Clematis,Plantae,Clematis and leatherflowers,2
cloeon-dipterum,Cloeon dipterum,6,"",2
clubiona,Clubiona,Arachnida,Leafcurling Sac Spiders,2
cnaemidophorus-rhododactyla,Cnaemidophorus rhododactyla,8,Rose Plume,2
coenosia-tigrina,Coenosia tigrina,Insecta,Common Tiger Fly,2
coprinus-comatus,Coprinus comatus,Fungi,Shaggy Mane,2
cornus-kousa,Cornus kousa,10,kousa dogwood,2
cosmia-trapezina,Cosmia trapezina,8,Dun-bar,2
cota-tinctoria,Cota tinctoria,Plantae,Golden marguerite,2
cotinus-coggygria,Cotinus coggygria,10,Smoke tree,2
crabro-cribrarius,Crabro cribrarius,17,Large Shield Wasp,2
craniophora-ligustri,Craniophora ligustri,8,The Coronet,2
crocidura-russula,Crocidura russula,2,White-toothed Shrew,2
cryptocephalus-ocellatus,Cryptocephalus ocellatus,16,"",2
ctenophora-pectinicornis,Ctenophora pectinicornis,18,"",2
culex-pipiens-torrentium,Culex pipiens / torrentium,18,"",2
curruca-curruca,Curruca curruca,1,Lesser Whitethroat,2
cynosurus-echinatus,Cynosurus echinatus,10,Bristly dogstail grass,2
dactylorhiza,Dactylorhiza,Plantae,Marsh orchids,2
dasineura-urticae,Dasineura urticae,18,"",2
deltote-pygarga,Deltote pygarga,8,Marbled White Spot,2
deutzia,Deutzia,Plantae,"",2
dianthus-barbatus,Dianthus barbatus,10,Sweet-William,2
dianthus-spec-cultivar,Dianthus spec. (cultivar),10,"",2
dicranopalpus-ramosus,Dicranopalpus ramosus,13,"",2
dicyphus-errans,Dicyphus errans,15,"",2
dolerus-spec,Dolerus spec.,17,"",2
dolichopus-claviger,Dolichopus claviger,18,"",2
donacaula-forficella,Donacaula forficella,8,"",2
dysstroma-truncata,Dysstroma truncata,8,Common Marbled Carpet,2
echium-plantagineum,Echium plantagineum,10,Purple Viper's bugloss,2
ectemnius-cavifrons,Ectemnius cavifrons,17,"",2
ectopsocus-petersi,Ectopsocus petersi,6,"",2
edwardsiana-geometrica,Edwardsiana geometrica,15,"",2
elachista-canapennella,Elachista canapennella,8,"",2
elasmucha-grisea,Elasmucha grisea,15,Parent Bug,2
empis-livida,Empis livida,18,"",2
endrosis-sarcitrella,Endrosis sarcitrella,8,White-shouldered house moth,2
enicospilus-ramidulus,Enicospilus ramidulus,17,"",2
epilobium,Epilobium,Plantae,willowherbs,2
epilobium-parviflorum,Epilobium parviflorum,10,Small-flowered Willowherb,2
eriophyes-laevis,Eriophyes laevis,13,Alder Leaf Gall Mite,2
eristalis-similis,Eristalis similis,18,Glass-winged Drone Fly,2
eryngium-bourgatii,Eryngium bourgatii,10,"",2
eryngium-planum,Eryngium planum,Plantae,Blue Eryngo,2
erythromma-najas,Erythromma najas,5,Large Redeye,2
eucosma-campoliliana,Eucosma campoliliana,8,"",2
eulithis-prunata,Eulithis prunata,8,Phoenix,2
euonymus-europaeus,Euonymus europaeus,10,Spindle,2
eupeodes,Eupeodes,Insecta,Aphideaters,2
eupithecia-haworthiata,Eupithecia haworthiata,8,Haworth's Pug,2
eupithecia-spec,Eupithecia spec.,8,"",2
eupithecia-tantillaria,Eupithecia tantillaria,8,Dwarf Pug,2
euthrix-potatoria,Euthrix potatoria,8,Drinker,2
eutonia-barbipes,Eutonia barbipes,18,"",2
falco-subbuteo,Falco subbuteo,1,Eurasian Hobby,2
ficus-carica,Ficus carica,10,common fig,2
filipendula-ulmaria,Filipendula ulmaria,10,Meadowsweet,2
flavoparmelia-soredians,Flavoparmelia soredians,12,"",2
fomoria-septembrella,Fomoria septembrella,8,"",2
fuchsia-magellanica,Fuchsia magellanica,Plantae,Hardy Fuchsia,2
fulica-atra-atra,Fulica atra atra,Aves,Eurasian coot,2
gammarus-tigrinus,Gammarus tigrinus,13,"",2
ganoderma-lipsiense,Ganoderma lipsiense,11,"",2
gastrolepta-anthracina,Gastrolepta anthracina,18,"",2
gastrophysa-viridula,Gastrophysa viridula,16,Green Dock Beetle,2
geranium,Geranium,Plantae,geraniums and cranesbills,2
geranium-nodosum,Geranium nodosum,10,Knotted Crane's-bill,2
glyphotaelius-pellucidus,Glyphotaelius pellucidus,6,Mottled sedge,2
graphocephala-fennahi,Graphocephala fennahi,15,Rhododendron leafhopper,2
grapholita-janthinana,Grapholita janthinana,8,"",2
gymnochiromyia,Gymnochiromyia,Insecta,"",2
hadena-compta,Hadena compta,8,Varied Coronet,2
halyomorpha-halys,Halyomorpha halys,15,Brown Marmorated Stink Bug,2
harmonia-quadripunctata,Harmonia quadripunctata,16,Cream-streaked ladybird,2
harpella-forficella,Harpella forficella,8,"",2
helix-pomatia,Helix pomatia,7,Roman Snail,2
hepialus-humuli,Hepialus humuli,8,Ghost Moth,2
hercostomus-nigriplantis,Hercostomus nigriplantis,18,"",2
herniaria-glabra,Herniaria glabra,10,Smooth Rupturewort,2
hippolais-icterina,Hippolais icterina,1,Icterine Warbler,2
hoplitis-leucomelana,Hoplitis leucomelana,17,Kirby's Mason Bee,2
hosta,Hosta,Plantae,hostas,2
hypericum-androsaemum-hypericum-hircinum-hypericum-x-inodorum,Hypericum androsaemum + Hypericum hircinum + Hypericum x inodorum,10,"",2
hypericum-spec,Hypericum spec.,10,St. Johnswort unknown,2
hypolimnas-bolina,Hypolimnas bolina,4,Great Eggfly,2
iassus-lanio,Iassus lanio,15,"",2
iassus-scutellaris,Iassus scutellaris,15,"",2
icius-spec,Icius spec.,13,"",2
idaea-subsericeata,Idaea subsericeata,8,Satin Wave,2
ilex-aquifolium,Ilex aquifolium,10,Holly,2
ipimorpha-subtusa,Ipimorpha subtusa,8,The Olive,2
isatis-tinctoria,Isatis tinctoria,10,Woad,2
juncus-compressus,Juncus compressus,10,Round-fruited Rush,2
kalama-tricornis,Kalama tricornis,15,"",2
laetiporus-sulphureus,Laetiporus sulphureus,11,Chicken Of The Woods,2
lagurus-ovatus,Lagurus ovatus,10,Hare's-tail,2
lamiastrum-galeobdolon-subsp-argentatum,Lamiastrum galeobdolon subsp. argentatum,10,"",2
lamium-album,Lamium album,10,White Dead-nettle,2
larus,Larus,Aves,Large White-headed Gulls,2
lathyrus-latifolius,Lathyrus latifolius,10,Broad-leaved Everlasting-pea,2
lathyrus-nissolia,Lathyrus nissolia,10,Grass Vetchling,2
lathyrus-pratensis,Lathyrus pratensis,10,Meadow Vetchling,2
leccinum-scabrum-sl-incl-cyaneobasileucum-melaneum-schistophilum-variicolor,"Leccinum scabrum sl, incl. cyaneobasileucum, melaneum, schistophilum, variicolor",11,"",2
lepidium-densiflorum,Lepidium densiflorum,10,Densely flowered Pepperwort,2
lepidium-virginicum,Lepidium virginicum,10,Least Pepperwort,2
leucoma-salicis,Leucoma salicis,8,White Satin Moth,2
ligustrum-ovalifolium,Ligustrum ovalifolium,10,garden privet,2
ligustrum-vulgare,Ligustrum vulgare,10,Common Privet,2
linaria-cannabina,Linaria cannabina,1,Common Linnet,2
linaria-purpurea,Linaria purpurea,10,Purple Toadflax,2
lindneromyia-dorsalis,Lindneromyia dorsalis,18,"",2
liophloeus-tessulatus,Liophloeus tessulatus,16,"",2
lithobius-spec,Lithobius spec.,13,"",2
lonchaeidae-indet,Lonchaeidae indet.,18,Unidentified Lance Fly,2
lozotaeniodes-formosana,Lozotaeniodes formosana,8,"",2
lygocoris-pabulinus,Lygocoris pabulinus,15,"",2
macrocentrus-spec,Macrocentrus spec.,17,"",2
macrophya-montana,Macrophya montana,17,"",2
macrosiphum-rosae,Macrosiphum rosae,15,Rose aphid,2
malus-x-domestica,Malus x domestica,10,"",2
mammalia-indet,Mammalia indet.,2,Mammal unknown,2
meconema,Meconema,Insecta,"",2
megaloceroea-recticornis,Megaloceroea recticornis,15,"",2
megalocoleus-molliculus,Megalocoleus molliculus,15,"",2
melaleuca,Melaleuca,Plantae,bottlebrushes,2
melaleuca-citrina,Melaleuca citrina,Plantae,crimson bottlebrush,2
melanomya-nana,Melanomya nana,18,"",2
microlinyphia-pusilla,Microlinyphia pusilla,13,"",2
micromus-variegatus,Micromus variegatus,6,"",2
mirabilis-jalapa,Mirabilis jalapa,10,Marvel-of-Peru,2
monopis-crocicapitella,Monopis crocicapitella,8,Pale-backed Detritus Moth,2
morus-nigra,Morus nigra,10,black mulberry,2
mutarda-nigra,Mutarda nigra,Plantae,Black Mustard,2
myosotis-laxa,Myosotis laxa,10,Tufted Forget me not,2
myrmus-miriformis,Myrmus miriformis,15,short-winged rhopalid,2
mystacides-nigra,Mystacides nigra,6,"",2
mythimna-albipuncta,Mythimna albipuncta,8,White-point,2
nacerdes-melanura,Nacerdes melanura,16,Wharf Borer,2
nemotelus-pantherinus,Nemotelus pantherinus,18,"",2
neoascia-spec,Neoascia spec.,18,"",2
nephrotoma-cornicina,Nephrotoma cornicina,18,"",2
neurotoma-saltuum,Neurotoma saltuum,17,"",2
nigella-damascena,Nigella damascena,10,Love-in-a-mist,2
nomada-flavoguttata,Nomada flavoguttata,17,Little Nomad Bee,2
ochlodes-sylvanus,Ochlodes sylvanus,4,Large Skipper,2
oegoconia-deauratella,Oegoconia deauratella,8,"",2
oenothera,Oenothera,Plantae,"evening primroses, sundrops, and beeblossoms",2
oenothera-glazioviana,Oenothera glazioviana,10,Large-flowered Evening-primrose,2
oenothera-lindheimeri,Oenothera lindheimeri,10,clockweed,2
ononis-spinosa,Ononis spinosa,10,Restharrow,2
orgyia-antiqua,Orgyia antiqua,8,Vapourer,2
oxidus-gracilis,Oxidus gracilis,13,Greenhouse Millipede,2
oxybelus-bipunctatus,Oxybelus bipunctatus,17,"",2
palloptera-ustulata,Palloptera ustulata,18,"",2
panaeolina-foenisecii,Panaeolina foenisecii,11,"",2
panorpa-communis,Panorpa communis,6,Common scorpionfly,2
papaver,Papaver,Plantae,Poppies,2
paranthrene-tabaniformis,Paranthrene tabaniformis,8,Dusky Clearwing,2
parasola-plicatilis-sl-incl-galericuliformis-hercules-kuehneri-leiocephala-megasperma-schroeteri,"Parasola plicatilis sl, incl. galericuliformis, hercules, kuehneri, leiocephala, megasperma, schroeteri",11,"",2
parasteatoda-tepidariorum,Parasteatoda tepidariorum,13,American House Spider,2
parietaria-officinalis,Parietaria officinalis,10,Eastern Pellitory-of-the-wall,2
passiflora-caerulea,Passiflora caerulea,10,Blue Passion-Flower,2
pemphredon-spec,Pemphredon spec.,17,"",2
periplaneta-australasiae,Periplaneta australasiae,6,Australian cockroach,2
phalangium-opilio,Phalangium opilio,13,European Harvestman,2
phalaris-arundinacea,Phalaris arundinacea,10,Reed Canary-grass,2
phaonia-spec,Phaonia spec.,18,"",2
phedimus-hybridus,Phedimus hybridus,10,Siberian Stonecrop,2
phedimus-kamtschaticus,Phedimus kamtschaticus,10,Kamchatka Stonecrop,2
philadelphus-spec,Philadelphus spec.,10,Mock orange unknown,2
philereme-vetulata,Philereme vetulata,8,Brown Scallop,2
philodromus-aureolus,Philodromus aureolus,Arachnida,"",2
philosepedon-spec,Philosepedon spec.,18,"",2
phragmatobia-fuliginosa,Phragmatobia fuliginosa,8,Ruby Tiger,2
phycitodes-spec,Phycitodes spec.,8,"",2
phymatocera-aterrima,Phymatocera aterrima,17,Solomon's-seal Sawfly,2
physcia-adscendens,Physcia adscendens,12,"",2
physconia-grisea,Physconia grisea,12,"",2
physocephala-rufipes,Physocephala rufipes,18,Waisted Beegrabber,2
phytocoris-ulmi,Phytocoris ulmi,15,"",2
phytomyza-senecionis,Phytomyza senecionis,18,"",2
pinalitus-cervinus,Pinalitus cervinus,15,"",2
plagiognathus-arbustorum,Plagiognathus arbustorum,15,"",2
plagiognathus-chrysanthemi,Plagiognathus chrysanthemi,15,"",2
platycheirus-scutatus,Platycheirus scutatus,18,Many-tufted Sedgesitter,2
platypalpus-spec,Platypalpus spec.,18,"",2
poa-compressa,Poa compressa,10,Flattened Meadow-grass,2
poa-trivialis,Poa trivialis,10,Rough Meadow-grass,2
polyporus-squamosus,Polyporus squamosus,11,Dryad's Saddle,2
pompilidae-indet,Pompilidae indet.,17,Spider wasp unknown,2
pontania-proxima,Pontania proxima,17,"",2
populus-nigra,Populus nigra,Plantae,Black Poplar,2
potentilla-argentea,Potentilla argentea,10,Hoary Cinquefoil,2
protoparmeliopsis-muralis,Protoparmeliopsis muralis,12,Chewing Gum Lichen,2
pseudovadonia-livida,Pseudovadonia livida,16,Fairy-ring Longhorn Beetle,2
punctelia-borreri,Punctelia borreri,12,Borrers speckled shield lichen,2
pyrochroa-serraticornis,Pyrochroa serraticornis,Insecta,Common Cardinal Beetle,2
pyrrhalta-viburni,Pyrrhalta viburni,16,Viburnum Leaf Beetle,2
pyrrhosoma-nymphula,Pyrrhosoma nymphula,5,Large Red Damselfly,2
ranunculus,Ranunculus,Plantae,buttercups,2
ranunculus-sceleratus,Ranunculus sceleratus,10,Celery-leaved Buttercup,2
raphanus-raphanistrum,Raphanus raphanistrum,10,Wild radish,2
rhagio-scolopaceus,Rhagio scolopaceus,18,Downlooker Snipefly,2
rhogogaster-spec,Rhogogaster spec.,17,"",2
rilaena-triangularis,Rilaena triangularis,13,"",2
rivellia-syngenesiae,Rivellia syngenesiae,18,"",2
rorippa-palustris,Rorippa palustris,10,Marsh Yellow-cress,2
rosa,Rosa,Plantae,roses,2
rubus-idaeus,Rubus idaeus,10,Raspberry,2
rumex-spec,Rumex spec.,10,Dock unknown,2
salix-spec,Salix spec.,10,Willow unknown,2
salvia-sclarea,Salvia sclarea,Plantae,Clary,2
sanguisorba-officinalis,Sanguisorba officinalis,10,Great Burnet,2
scaeva-pyrastri,Scaeva pyrastri,18,White-bowed Smoothwing,2
scaeva-selenitica,Scaeva selenitica,18,Yellow-bowed Smoothwing,2
sceliphron-curvatum,Sceliphron curvatum,17,Asian Mud-dauber Wasp,2
schedonorus-giganteus,Schedonorus giganteus,10,Giant Fescue,2
scoparia-basistrigalis,Scoparia basistrigalis,8,"",2
scorzoneroides-autumnalis,Scorzoneroides autumnalis,10,Autumn Hawkbit,2
scutellaria-galericulata,Scutellaria galericulata,10,Marsh Skullcap,2
sedum-rupestre,Sedum rupestre,10,Reflexed Stonecrop,2
sedum-sexangulare,Sedum sexangulare,10,Tasteless Stonecrop,2
segestria-bavarica,Segestria bavarica,13,"",2
setaria-viridis,Setaria viridis,10,Green Bristle Grass,2
sideridis-turbida,Sideridis turbida,8,White Colon,2
silene-coronaria,Silene coronaria,Plantae,Rose campion,2
sisyra-nigra,Sisyra nigra,6,"",2
smyrnium-perfoliatum,Smyrnium perfoliatum,10,Perfoliate Alexanders,2
sonchus,Sonchus,Plantae,sow thistles,2
sorbus-aucuparia,Sorbus aucuparia,10,Rowan,2
sphaeroderma-testaceum,Sphaeroderma testaceum,16,"",2
stenodema-laevigata,Stenodema laevigata,15,"",2
stenopelmus-rufinasus,Stenopelmus rufinasus,16,"",2
stenotus-binotatus,Stenotus binotatus,15,"",2
sylvicola-spec,Sylvicola spec.,18,"",2
symmorphus-spec,Symmorphus spec.,17,"",2
sympetrum-meridionale,Sympetrum meridionale,5,Southern Darter,2
synanthedon-formicaeformis,Synanthedon formicaeformis,8,Red-tipped Clearwing,2
syritta-pipiens,Syritta pipiens,18,Common Compost Fly,2
syrphini,Syrphini,Insecta,"",2
tabanus-autumnalis,Tabanus autumnalis,18,Large Marsh Horsefly,2
taxodium-distichum,Taxodium distichum,10,Bald cypress,2
tephritis-neesii,Tephritis neesii,18,"",2
theba-pisana,Theba pisana,7,White Snail,2
tillus-elongatus,Tillus elongatus,16,"",2
tinodes-waeneri,Tinodes waeneri,6,"",2
trachea-atriplicis,Trachea atriplicis,8,Orache Moth,2
trachelospermum,Trachelospermum,Plantae,"",2
trachemys-scripta-scripta,Trachemys scripta scripta,3,Yellow-bellied Slider,2
tracheophyta,Tracheophyta,Plantae,Vascular Plants,2
triaxomera-parasitella,Triaxomera parasitella,8,"",2
trifolium-campestre,Trifolium campestre,10,Hop Trefoil,2
tringa-ochropus,Tringa ochropus,1,Green Sandpiper,2
trogoderma-angustum,Trogoderma angustum,16,Stockholm Beetle,2
tropaeolum-majus,Tropaeolum majus,10,Nasturtium,2
tropidia-scita,Tropidia scita,18,Swamp Thickleg,2
tussilago-farfara,Tussilago farfara,10,Colt's-foot,2
typha,Typha,Plantae,Cattails,2
typhlocybinae-indet,Typhlocybinae indet.,15,"",2
ulmus-minor,Ulmus minor,Plantae,Field Elm,2
vanellus-vanellus,Vanellus vanellus,1,Northern Lapwing,2
verbascum-thapsus,Verbascum thapsus,10,Great Mullein,2
veronica-arvensis,Veronica arvensis,10,Wall Speedwell,2
veronica-austriaca,Veronica austriaca,10,Austrian Speedwell,2
veronica-serpyllifolia,Veronica serpyllifolia,Plantae,thyme-leaved speedwell,2
vespa-crabro,Vespa crabro,17,Hornet,2
vespula-vulgaris,Vespula vulgaris,17,Common Wasp,2
vicia-hirsuta,Vicia hirsuta,10,Hairy Tare,2
vicia-sepium,Vicia sepium,10,Bush Vetch,2
vitula-biviella,Vitula biviella,8,"",2
volvariella-gloiocephala,Volvariella gloiocephala,11,"",2
xeroplexa-intersecta,Xeroplexa intersecta,7,Wrinkled Snail,2
xysticus-ulmi,Xysticus ulmi,13,"",2
yponomeuta,Yponomeuta,Insecta,Small Ermine Moths,2
yponomeuta-cagnagella,Yponomeuta cagnagella,8,Spindle ermine,2
ypsolopha-dentella,Ypsolopha dentella,8,"",2
ypsolopha-scabrella,Ypsolopha scabrella,8,"",2
abia-nitens,Abia nitens,17,"",1
acanthus-hungaricus,Acanthus hungaricus,10,"",1
acanthus-spec,Acanthus spec.,10,Acanthus unknown,1
acer-negundo,Acer negundo,10,Ash-leaved Maple,1
acer-platanoides,Acer platanoides,10,Norway Maple,1
acer-pseudoplatanus-f-aureovariegatum,Acer pseudoplatanus f. aureovariegatum,10,"",1
acer-saccharinum,Acer saccharinum,10,Silver maple,1
achillea,Achillea,Plantae,yarrows,1
achillea-millefolium-cultivar,Achillea millefolium (cultivar),10,"",1
acleris-bergmanniana,Acleris bergmanniana,8,Yellow Rose Tortrix,1
acleris-ferrugana,Acleris ferrugana,8,"",1
acleris-logiana,Acleris logiana,8,"",1
acleris-variegana,Acleris variegana,8,Garden Rose Tortrix,1
acrobasis-advenella,Acrobasis advenella,8,"",1
acrocephalus,Acrocephalus,Aves,Reed Warblers,1
acrolepiopsis-assectella,Acrolepiopsis assectella,8,Leek moth,1
acronicta-rumicis,Acronicta rumicis,8,Knot Grass,1
actinopterygii,Actinopterygii,Actinopterygii,Ray-finned Fishes,1
aculus-tetanothrix,Aculus tetanothrix,13,"",1
adalia,Adalia,Insecta,"",1
adiantum-venustum,Adiantum venustum,10,Himalayan maidenhair,1
aegopinella-nitidula,Aegopinella nitidula,7,Smooth Glass Snail,1
aegopodium,Aegopodium,Plantae,"",1
aelia-acuminata,Aelia acuminata,15,Bishop's Mitre Shieldbug,1
aesculus-hippocastanum,Aesculus hippocastanum,10,Horse-chestnut,1
aesculus-parviflora,Aesculus parviflora,10,Dwarf buckeye,1
aeshnidae-indet,Aeshnidae indet.,5,"",1
agaricales,Agaricales,Fungi,Common Gilled Mushrooms and Allies,1
agaricus-bitorquis,Agaricus bitorquis,11,"",1
agaricus-spec,Agaricus spec.,11,"",1
agelastica,Agelastica,Insecta,"",1
agonopterix-heracliana-ciliella,Agonopterix heracliana / ciliella,8,"",1
agonopterix-propinquella,Agonopterix propinquella,8,"",1
agrilus,Agrilus,Insecta,"",1
agrilus-spec,Agrilus spec.,16,"",1
agrimonia-spec,Agrimonia spec.,10,Agrimony unknown,1
agriotes-lineatus,Agriotes lineatus,16,Lined click beetle,1
agriphila-geniculea,Agriphila geniculea,8,"",1
agriphila-inquinatella,Agriphila inquinatella,8,"",1
agrobacterium-radiobacter,Agrobacterium radiobacter,,bacterial crown gall,1
agrochola-lunosa,Agrochola lunosa,8,Lunar Underwing,1
agrocybe-dura,Agrocybe dura,11,"",1
agromyza-flaviceps,Agromyza flaviceps,18,"",1
agyneta,Agyneta,Arachnida,"",1
aira-caryophyllea,Aira caryophyllea,10,Silver Hair-grass,1
alauda-arvensis,Alauda arvensis,1,Eurasian Skylark,1
alcea,Alcea,Plantae,hollyhocks,1
aleiodes-spec,Aleiodes spec.,17,"",1
alkekengi-officinarum,Alkekengi officinarum,10,Cape Gooseberry,1
allium-cristophii,Allium cristophii,Plantae,Star of Persia,1
allium-scorodoprasum,Allium scorodoprasum,Plantae,Sand Leek,1
allium-spec,Allium spec.,10,Onion unknown,1
alstroemeria-aurea,Alstroemeria aurea,Plantae,Peruvian Lily,1
althaea-officinalis,Althaea officinalis,10,Marsh-mallow,1
amara-apricaria,Amara apricaria,16,"",1
amara-aulica,Amara aulica,16,"",1
amara-spec,Amara spec.,16,"",1
amblyptilia-acanthadactyla,Amblyptilia acanthadactyla,8,Plume Moth,1
amelanchier-arborea,Amelanchier arborea,Plantae,common serviceberry,1
amphipoda,Amphipoda,Animalia,Amphipods,1
amphipyra-pyramidea,Amphipyra pyramidea,8,Copper Underwing,1
anania-crocealis,Anania crocealis,8,"",1
anarsia-innoxiella,Anarsia innoxiella,8,"",1
anas,Anas,Aves,"Mallards, Pintails, and Allies",1
ancylis-unguicella,Ancylis unguicella,8,"",1
andricus-kollari,Andricus kollari,17,Oak Marble Gall Wasp,1
angiospermae,Angiospermae,Plantae,Flowering Plants,1
anisantha-madritensis,Anisantha madritensis,10,Compact Brome,1
anisantha-tectorum,Anisantha tectorum,10,Drooping Brome,1
anisoptera-indet,Anisoptera indet.,5,Dragonfly unknown,1
anodonta-cygnea,Anodonta cygnea,7,Swan mussel,1
anodontini,Anodontini,Mollusca,"",1
anoecia,Anoecia,Insecta,"",1
anser-anser-cygnoides,Anser anser × cygnoides,Aves,Greylag × Swan Goose,1
anser-anser-f-domesticus,Anser anser f. domesticus,1,Domesticated Goose,1
anser-spec,Anser spec.,1,Goose (Anser) unknown,1
anseriformes,Anseriformes,Aves,Waterfowl,1
anthemideae,Anthemideae,Plantae,"Chamomiles, yarrows, and allies",1
anthocomus-fasciatus,Anthocomus fasciatus,16,"",1
anthonomus-rubi,Anthonomus rubi,16,Strawberry blossom weevil,1
anthophila,Anthophila,Insecta,Bees,1
anthophila-indet,Anthophila indet.,17,Bee unidentified,1
anthrenus-pimpinellae,Anthrenus pimpinellae,16,"",1
apamea-lithoxylaea,Apamea lithoxylaea,8,Light Arches,1
aphidiinae,Aphidiinae,Insecta,Aphid Mummy Wasps,1
aphis-jacobaeae,Aphis jacobaeae,15,"",1
aphis-sambuci,Aphis sambuci,15,"",1
aphrodes-spec,Aphrodes spec.,15,"",1
aphthona-nonstriata,Aphthona nonstriata,Insecta,Iris Flea Beetle,1
aplocera-spec,Aplocera spec.,8,"",1
apocrita,Apocrita,Insecta,"Narrow-waisted Wasps, Ants, and Bees",1
apolygus-lucorum,Apolygus lucorum,15,"",1
aproceros-leucopoda,Aproceros leucopoda,17,Elm Zigzag Sawfly,1
aquarius,Aquarius,Insecta,"",1
aquilegia-vulgaris,Aquilegia vulgaris,10,Columbine,1
aquilegia-vulgaris-cultivar,Aquilegia vulgaris (cultivar),10,"",1
aradus-brenskei,Aradus brenskei,15,"",1
araneomorphae,Araneomorphae,Arachnida,Typical Spiders,1
araneus-spec,Araneus spec.,13,"",1
archanara-dissoluta,Archanara dissoluta,8,Brown-veined Wainscot,1
archips-crataegana,Archips crataegana,8,"",1
arenaria-leptoclados-arenaria-serpyllifolia,Arenaria leptoclados + Arenaria serpyllifolia,10,"",1
arge,Arge,Insecta,"",1
arge-cyanocrocea,Arge cyanocrocea,17,"",1
arge-pagana,Arge pagana,17,"",1
argogorytes-mystaceus,Argogorytes mystaceus,17,"",1
argynnis-paphia,Argynnis paphia,4,Silver-washed Fritillary,1
argyresthia-albistria,Argyresthia albistria,8,"",1
argyresthia-goedartella,Argyresthia goedartella,8,"",1
argyresthia-retinella,Argyresthia retinella,8,"",1
argyrotaenia-ljungiana,Argyrotaenia ljungiana,8,"",1
aricia-agestis,Aricia agestis,4,Brown Argus,1
arion,Arion,Mollusca,Arion Slugs,1
arion-vulgaris,Arion vulgaris,Mollusca,Spanish Slug,1
arma-custos,Arma custos,15,"",1
armadillidium,Armadillidium,Animalia,Pillbugs,1
arocatus-longiceps,Arocatus longiceps,15,"",1
arum-spec,Arum spec.,10,Arum unknown,1
asio-otus,Asio otus,1,Long-eared Owl,1
asparagus-officinalis,Asparagus officinalis,10,Edible asparagus,1
assara-terebrella,Assara terebrella,8,"",1
astacidae-cambaridae-parastacidae-indet,Astacidae/Cambaridae/Parastacidae indet.,13,Crayfish unknown,1
asteraceae,Asteraceae,Plantae,"Sunflowers, Daisies, Asters, and Allies",1
astrantia-major,Astrantia major,10,Astrantia,1
astur-gentilis,Astur gentilis,1,Eurasian Goshawk,1
athene-noctua,Athene noctua,1,Little Owl,1
athyrium-filix-femina,Athyrium filix-femina,10,Lady-fern,1
atractotomus-mali,Atractotomus mali,15,"",1
atyaephyra-desmarestii,Atyaephyra desmarestii,13,"",1
auchenorrhyncha-indet,Auchenorrhyncha indet.,15,Leafhopper unknown (Auchenorrhyncha),1
aulagromyza-hendeliana,Aulagromyza hendeliana,18,"",1
austrolimnophila-ochracea,Austrolimnophila ochracea,Insecta,"",1
avena-barbata,Avena barbata,10,Slender oat,1
