slug,latin_name,taxon_group,common_name,observations_count
acleris-forsskaleana,Acleris forsskaleana,8,"",12
andrena-flavipes,Andrena flavipes,17,Yellow-legged Mining Bee,12
anthomyiidae-indet,Anthomyiidae indet.,18,"",12
anthriscus-sylvestris,Anthriscus sylvestris,10,Cow Parsley,12
apamea-monoglypha,Apamea monoglypha,8,Dark Arches,12
calamagrostis-epigejos,Calamagrostis epigejos,10,Wood Small-reed,12
chelostoma-rapunculi,Chelostoma rapunculi,17,"",12
chorthippus-biguttulus-group,Chorthippus biguttulus-group,14,Biguttulus-group,12
coreus-marginatus,Coreus marginatus,15,Dock Bug,12
cornu-aspersum,Cornu aspersum,7,Garden Snail,12
crambus-perlella,Crambus perlella,8,"",12
dipsacus-pilosus,Dipsacus pilosus,10,Small Teasel,12
ditula-angustiorana,Ditula angustiorana,8,Red-barred Tortrix,12
epilobium-hirsutum,Epilobium hirsutum,10,Great Willowherb,12
galium-verum,Galium verum,10,Lady's Bedstraw,12
glechoma-hederacea,Glechoma hederacea,10,Ground-ivy,12
hordeum-murinum,Hordeum murinum,10,Wall Barley,12
megachile-willughbiella,Megachile willughbiella,17,Willughby's Leafcutter Bee,12
mormo-maura,Mormo maura,8,Old Lady,12
motacilla-alba,Motacilla alba,1,White Wagtail,12
plantago-lanceolata,Plantago lanceolata,10,Ribwort Plantain,12
sambucus-nigra,Sambucus nigra,10,Elder,12
sarcophaga-spec,Sarcophaga spec.,18,"",12
sonchus-oleraceus,Sonchus oleraceus,10,Smooth Sow-thistle,12
urtica-dioica,Urtica dioica,10,Common Nettle,12
acentria-ephemerella,Acentria ephemerella,8,"",11
cepaea-spec,Cepaea spec.,7,"",11
chloromyia-formosa,Chloromyia formosa,18,Broad Centurian,11
cirsium-vulgare,Cirsium vulgare,10,Spear Thistle,11
crocallis-elinguaria,Crocallis elinguaria,8,Scalloped Oak,11
eupatorium-cannabinum,Eupatorium cannabinum,10,Hemp-agrimony,11
graphosoma-italicum,Graphosoma italicum,15,Striped shield bug,11
gymnoscelis-rufifasciata,Gymnoscelis rufifasciata,8,Double-striped Pug,11
hirundo-rustica,Hirundo rustica,1,Barn Swallow,11
hylaeus-communis,Hylaeus communis,17,Common Yellow-face Bee,11
leucanthemum-vulgare,Leucanthemum vulgare,10,Oxeye Daisy,11
lotus-pedunculatus,Lotus pedunculatus,10,Greater Bird's-foot-trefoil,11
magnoliopsida,Magnoliopsida,Plantae,Dicots,11
oryctolagus-cuniculus,Oryctolagus cuniculus,2,European Rabbit,11
phasianus-colchicus,Phasianus colchicus,1,Common Pheasant,11
philoscia-muscorum,Philoscia muscorum,13,Common Striped Woodlouse,11
pyrrhocoris-apterus,Pyrrhocoris apterus,15,Firebug,11
rhinophora-lepida,Rhinophora lepida,18,"",11
scymninae-indet,Scymninae indet.,16,"",11
textrix-denticulata,Textrix denticulata,13,Toothed Weaver,11
thereva-nobilitata,Thereva nobilitata,18,"",11
apterogenum-ypsillon,Apterogenum ypsillon,8,Dingy Shears,10
bufo-bufo,Bufo bufo,3,Common Toad,10
cepaea-nemoralis,Cepaea nemoralis,7,Brown-lipped Snail,10
cornus-sanguinea,Cornus sanguinea,10,Dogwood,10
dianthus-deltoides,Dianthus deltoides,10,Maiden Pink,10
enoplognatha-ovata-latimana,Enoplognatha ovata/latimana,13,"",10
eristalis-horticola,Eristalis horticola,18,Stripe-winged Drone Fly,10
heracleum-sphondylium,Heracleum sphondylium,10,Hogweed,10
leptophyes-punctatissima,Leptophyes punctatissima,14,Speckled Bush-cricket,10
malva-alcea-malva-moschata,Malva alcea + Malva moschata,10,"",10
malva-moschata,Malva moschata,10,Musk-mallow,10
medicago-lupulina,Medicago lupulina,10,Black Medick,10
panorpa-germanica,Panorpa germanica,6,German Scorpionfly,10
phlomis-russeliana,Phlomis russeliana,Plantae,Turkish Sage,10
pisaura-mirabilis,Pisaura mirabilis,13,Nursery-web Spider,10
platyedra-subcinerea,Platyedra subcinerea,8,"",10
procambarus-clarkii,Procambarus clarkii,13,Red Swamp Crayfish,10
schoenobius-gigantella,Schoenobius gigantella,8,"",10
silene-latifolia,Silene latifolia,10,White Campion,10
sonchus-asper,Sonchus asper,10,Prickly Sow-thistle,10
sphaerophoria-scripta,Sphaerophoria scripta,18,Common Globetail,10
tragopogon-pratensis,Tragopogon pratensis,10,Goat's-beard,10
anas-platyrhynchos-domesticus,Anas platyrhynchos domesticus,Aves,Domestic Mallard,9
anas-platyrhynchos-f-domesticus,Anas platyrhynchos f. domesticus,1,Domestic Duck,9
ancylis-achatana,Ancylis achatana,8,"",9
anthidium-manicatum,Anthidium manicatum,17,Common Wool Carder Bee,9
anthomyia-procellaris,Anthomyia procellaris,18,"",9
bellis-perennis,Bellis perennis,10,Common Daisy,9
caltha-palustris,Caltha palustris,10,Marsh-marigold,9
chrysolina-americana,Chrysolina americana,16,Rosemary Beetle,9
chrysopilus-cristatus,Chrysopilus cristatus,18,Black Snipefly,9
dasypoda-hirtipes,Dasypoda hirtipes,17,Pantaloon Bee,9
diplotaxis-tenuifolia,Diplotaxis tenuifolia,10,Perennial Wall-rocket,9
epipactis-helleborine,Epipactis helleborine,10,Broad-leaved Helleborine,9
erigeron-canadensis,Erigeron canadensis,10,Canadian Fleabane,9
fraxinus-excelsior,Fraxinus excelsior,10,Ash,9
geranium-molle,Geranium molle,10,Dove's-foot Crane's-bill,9
hedya-salicella,Hedya salicella,8,"",9
heterocera-indet,Heterocera indet.,8,Unidentified Moth,9
holcus-lanatus,Holcus lanatus,10,Yorkshire-fog,9
impatiens-glandulifera,Impatiens glandulifera,10,Himalayan Balsam,9
malva-sylvestris-cultivar,Malva sylvestris (cultivar),10,"",9
merodon-equestris,Merodon equestris,18,Narcissus Bulb Fly,9
neoitamus-cyanurus,Neoitamus cyanurus,18,Common Awl Robber Fly,9
nuphar-lutea,Nuphar lutea,10,Yellow Water-lily,9
nycticorax-nycticorax,Nycticorax nycticorax,1,Black-crowned Night Heron,9
oenothera-x-fallax-o-biennis-x-o-glazioviana,Oenothera x fallax (O. biennis x O. glazioviana),10,Intermediate Evening-Primrose,9
panorpa-vulgaris,Panorpa vulgaris,6,"",9
papaver-somniferum,Papaver somniferum,10,Opium Poppy,9
phleum-pratense,Phleum pratense,10,Timothy,9
pilosella-aurantiaca,Pilosella aurantiaca,10,Fox-and-cubs,9
potentilla-anserina,Potentilla anserina,10,Silverweed,9
rhaphigaster-nebulosa,Rhaphigaster nebulosa,15,Mottled Shieldbug,9
scoparia-ambigualis,Scoparia ambigualis,8,"",9
tanacetum-vulgare,Tanacetum vulgare,10,Tansy,9
valeriana-officinalis,Valeriana officinalis,10,Common Valerian,9
vicia-villosa,Vicia villosa,10,Fodder Vetch,9
agriphila-straminella,Agriphila straminella,8,Pearl Veneer,8
ancistrocerus-spec,Ancistrocerus spec.,17,"",8
anthemis-tinctoria,Anthemis tinctoria,10,Yellow Chamomile,8
auplopus-carbonarius,Auplopus carbonarius,17,"",8
borkhausenia-nefrax,Borkhausenia nefrax,8,"",8
catoptria-verellus,Catoptria verellus,8,"",8
centaurea-cyanus,Centaurea cyanus,10,Cornflower,8
chelidonium-majus,Chelidonium majus,10,Greater Celandine,8
closterotomus-norwegicus,Closterotomus norwegicus,15,Potato Mirid,8
colletes-spec,Colletes spec.,17,"",8
convolvulus-arvensis,Convolvulus arvensis,10,Field Bindweed,8
crataegus-monogyna,Crataegus monogyna,10,Hawthorn,8
curruca-communis,Curruca communis,1,Common Whitethroat,8
digitalis-purpurea,Digitalis purpurea,10,Foxglove,8
emmelina-monodactyla,Emmelina monodactyla,8,Common Plume,8
eudonia-lacustrata,Eudonia lacustrata,8,"",8
eurydema-oleracea,Eurydema oleracea,15,Cabbage Bug,8
gomphocerinae-indet,Gomphocerinae indet.,14,Short-horned Grasshopper spec.,8
gonocerus-acuteangulatus,Gonocerus acuteangulatus,15,Box Bug,8
heterogaster-urticae,Heterogaster urticae,15,Nettle ground bug,8
impatiens-parviflora,Impatiens parviflora,10,Small Balsam,8
lactuca-serriola,Lactuca serriola,10,Prickly Lettuce,8
leucania-obsoleta,Leucania obsoleta,8,Obscure Wainscot,8
melilotus-altissimus-melilotus-officinalis,Melilotus altissimus + Melilotus officinalis,10,"",8
mononychus-punctumalbum,Mononychus punctumalbum,16,"",8
nephopterix-angustella,Nephopterix angustella,8,"",8
pentaglottis-sempervirens,Pentaglottis sempervirens,10,Green Alkanet,8
philaenus-spumarius,Philaenus spumarius,15,Common froghopper,8
phragmites-australis,Phragmites australis,10,Common Reed,8
pyralis-farinalis,Pyralis farinalis,8,Meal moth,8
rumex-crispus,Rumex crispus,10,Curled Dock,8
saponaria-officinalis,Saponaria officinalis,10,Soapwort,8
symphytum-officinale,Symphytum officinale,10,Common Comfrey,8
trifolium-arvense,Trifolium arvense,10,Hare's-foot Clover,8
tripleurospermum-maritimum-matricaria-chamomilla,Tripleurospermum maritimum + Matricaria chamomilla,10,"",8
trypoxylon-spec,Trypoxylon spec.,17,"",8
acer-campestre,Acer campestre,10,Field Maple,7
acrocephalus-schoenobaenus,Acrocephalus schoenobaenus,1,Sedge Warbler,7
araniella-spec,Araniella spec.,13,Cucumber Spider unknown,7
arenostola-phragmitidis,Arenostola phragmitidis,8,Fen Wainscot,7
argyresthia-brockeella,Argyresthia brockeella,8,"",7
armadillidium-vulgare,Armadillidium vulgare,13,Common Pill Woodlouse,7
brachypodium-sylvaticum,Brachypodium sylvaticum,10,False Brome,7
cabera-pusaria,Cabera pusaria,8,Common White Wave,7
campanula-rapunculoides,Campanula rapunculoides,10,Creeping Bellflower,7
campanula-trachelium,Campanula trachelium,10,Nettle-leaved Bellflower,7
cantharis-spec,Cantharis spec.,16,"",7
caradrina-clavipalpis,Caradrina clavipalpis,8,Pale Mottled Willow,7
cettia-cetti,Cettia cetti,1,Cetti's Warbler,7
chrysolina-coerulans,Chrysolina coerulans,16,Blue Mint Leaf Beetle,7
clytus-arietis,Clytus arietis,16,Wasp Beetle,7
dactylis-glomerata,Dactylis glomerata,10,Cock's-foot,7
dolichomitus-complex,Dolichomitus-complex,17,"",7
eristalis-pertinax,Eristalis pertinax,18,Tapered Drone Fly,7
evergestis-extimalis,Evergestis extimalis,8,"",7
evergestis-limbata,Evergestis limbata,8,"",7
galinsoga-quadriradiata,Galinsoga quadriradiata,10,Shaggy Soldier,7
galium-mollugo,Galium mollugo,10,Hedge-bedstraw,7
gonepteryx-rhamni,Gonepteryx rhamni,4,Brimstone,7
gypsonoma-dealbana,Gypsonoma dealbana,8,"",7
hylaeus-spec,Hylaeus spec.,17,Yellow-faced Bee unknown,7
ichneumonidae-indet,Ichneumonidae indet.,17,Ichneumonid unknown,7
leptura-quadrifasciata,Leptura quadrifasciata,16,"",7
lissotriton-vulgaris,Lissotriton vulgaris,3,Smooth Newt,7
lysimachia-punctata,Lysimachia punctata,10,Dotted Loosestrife,7
noctua-comes,Noctua comes,8,Lesser Yellow Underwing,7
nymphaea-alba,Nymphaea alba,10,White Water-lily,7
origanum-vulgare,Origanum vulgare,10,Wild Marjoram,7
parietaria-judaica,Parietaria judaica,10,Pellitory-of-the-wall,7
pholcus-phalangioides,Pholcus phalangioides,13,Long-bodied Cellar Spider,7
phyllopertha-horticola,Phyllopertha horticola,16,Garden Chafer,7
phylloscopus-trochilus,Phylloscopus trochilus,1,Willow Warbler,7
plantago-major,Plantago major,10,Greater Plantain,7
polygonum-aviculare,Polygonum aviculare,10,Knotgrass,7
rhinanthus-angustifolius,Rhinanthus angustifolius,10,Greater Yellow-rattle,7
rubus-caesius,Rubus caesius,10,Dewberry,7
sapygina-decemguttata,Sapygina decemguttata,17,"",7
scrophularia-nodosa,Scrophularia nodosa,10,Common Figwort,7
scutellaria-altissima,Scutellaria altissima,10,Somerset Skullcap,7
sonchus-arvensis,Sonchus arvensis,10,Perennial Sow-thistle,7
sonchus-palustris,Sonchus palustris,10,Marsh Sow-thistle,7
stictoleptura-rubra,Stictoleptura rubra,16,Red Pine Longhorn Beetle,7
succinea-putris,Succinea putris,7,Amber Snail,7
tetragnatha-spec,Tetragnatha spec.,13,Long-jawed Orbweaver unknown,7
